data_source,supply_head_in,delivery_head_in,no_drive_pipe,drive_pipe_length_in,drive_pipe_id_in,no_check_valve,check_valve_in,waste_valve_in,air_chamber_vol_gal,vol_efficiency_pct,en_efficiency_pct,delivery_flow_gpm
sharma_2020,49,128,1,56,0.75,1,1,1,,5.6,,
sharma_2020,67,128,1,56,0.75,1,1,1,,7.9,,
sharma_2020,67,128,2,56,0.75,1,1,1,,5.3,,
sharma_2020,67,128,2,56,0.75,2,1,1,,5.3,,
sharma_2020,67,128,2,56,0.75,1,1,1,,9.5,,
sharma_2020,67,128,2,56,0.75,1,1,0.75,,6.9,,
sharma_2020,67,128,2,56,0.75,2,1,1,,20.4,53,
sharma_2020,67,128,2,56,0.75,2,1,0.75,,22,,
sharma_2021,49,128,1,56,0.75,1,1,0.75,0.306,5.71,15,0.1926
sharma_2021,49,128,1,56,0.75,1,1,0.75,0.306,8,21,0.2383
sharma_2021,49,128,1,56,0.75,1,1,0.75,0.306,,,
sharma_2021,49,128,1,56,0.75,1,1,0.75,0.306,,,
sharma_2021,49,128,1,56,0.75,1,1,0.75,0.306,,,
sharma_2021,49,128,1,56,0.75,1,1,0.75,0.306,,,
sharma_2022,69,120,2,56,0.75,1,1,0.25,0.306,9.8,17.6,0.1057
sharma_2022,69,120,2,56,0.75,1,1,0.50,0.306,6.9,12.5,0.1321
sharma_2022,69,120,2,56,0.75,1,1,0.75,0.306,21.7,38.9,0.7661
sharma_2022,69,120,2,56,0.75,1,1,1.00,0.306,13.9,25.1,0.6076
es_sharma_2024,72.4,122,2,56,0.75,1,1,0.75,0.306,11.6,19.5,0.3566
imece_sharma_2024,67.870,122,1,56,0.75,1,1,0.75,0.306,8.4,14.2,0.1673
imece_sharma_2024,67.870,122,2,56,0.75,1,1,0.75,0.306,9.2,15.6,0.2289
imece_sharma_2024,67.870,122,3,56,0.75,1,1,0.75,0.306,8.6,14.6,0.2334
imece_sharma_2024,67.870,122,4,56,0.75,1,1,0.75,0.306,7.2,12.1,0.2025
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,14.20,22.58,0.2742
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,14.53,23.10,0.2695
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,14.40,22.89,0.2726
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,14.63,23.26,0.2853
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,14.00,22.26,0.2813
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,14.53,23.09,0.2869
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,8.93,14.20,0.2061
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,9.45,15.02,0.2298
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,10.34,16.44,0.2378
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.20,11.44,0.1783
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,8.77,13.95,0.1791
imece_2025,76.75,122,4,55.91,0.75,1,2,0.75,0.306,7.44,11.83,0.1823
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,17.54,27.89,0.3963
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,18.37,29.20,0.4280
imece_2025,76.75,122,1,55.91,0.75,1,2,0.75,0.306,18.43,29.30,0.4280
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,14.47,23.01,0.3487
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,14.33,22.78,0.3447
imece_2025,76.75,122,2,55.91,0.75,1,2,0.75,0.306,14.10,22.41,0.3368
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,9.34,14.85,0.2417
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,9.15,14.54,0.2433
imece_2025,76.75,122,3,55.91,0.75,1,2,0.75,0.306,9.36,14.88,0.2496
