data_source,supply_head_in,delivery_head_in,no_drive_pipe,drive_pipe_length_in,drive_pipe_id_in,no_check_valve,check_valve_in,waste_valve_in,air_chamber_vol_gal,vol_efficiency_pct,en_efficiency_pct,delivery_flow_gpm
celerinos_2022,59.055,387.01,1,188.98,0.984252,1,0.984252,0.984252,5.283,12.83,84.06,0.12416084
celerinos_2022,70.866,410.63,1,224.41,0.984252,1,0.984252,0.984252,5.283,11.25,65.6,0.11095224
celerinos_2022,78.740,450.79,1,251.97,0.984252,1,0.984252,0.984252,5.283,10.59,60.6,0.1056688
celerinos_2022,90.551,533.86,1,287.40,0.984252,1,0.984252,0.984252,5.283,9.95,58.63,0.10831052
celerinos_2022,98.425,586.61,1,314.96,0.984252,1,0.984252,0.984252,5.283,8.97,53.45,0.10038536
celerinos_2022,59.055,429.13,1,244.09,0.984252,1,0.984252,0.984252,5.283,11.64,84.61,0.12680256
celerinos_2022,70.866,523.62,1,295.28,0.984252,1,0.984252,0.984252,5.283,10.32,76.23,0.11359396
celerinos_2022,78.740,576.77,1,326.77,0.984252,1,0.984252,0.984252,5.283,9.44,69.15,0.1056688
celerinos_2022,90.551,600.39,1,374.02,0.984252,1,0.984252,0.984252,5.283,8.51,56.42,0.10038536
celerinos_2022,98.425,588.58,1,409.45,0.984252,1,0.984252,0.984252,5.283,7.49,33.76,0.09510192
chuan_2018,39.370,196.85,1,,,,,,0.136,,,
chuan_2018,39.370,393.70,1,,,,,,0.272,,,
chuan_2018,39.370,590.55,1,,,,,,0.408,,,
chuan_2018,39.370,787.40,1,,,,,,0.544,,,
chuan_2018,39.370,984.25,1,,,,,,0.680,,,
sarip_2020,78.740,787.40,1,1476.377953,3,1,1,3,8.797,62,,23.40564384
metra_2020,120.000,814.8,1,120,2,1,2,1.5,3.371,,0,0
metra_2020,120.000,814.8,1,120,2,1,2,2,3.371,,13.83,0.274
metra_2020,120.000,814.8,1,120,2,1,2,2.5,3.371,,63.98,1.39
metra_2020,120.000,814.8,1,120,2,1,2,3,3.371,,74.36,1.71
metra_2020,120.000,814.8,1,120,2,1,2,3.5,3.371,,81.71,1.84
metra_2020,120.000,814.8,1,120,2,1,2,4,3.371,,84.3,1.95
metra_2020,120.000,814.8,1,120,2,1,2,4.5,3.371,,61.82,1.41
metra_2020,120.000,814.8,1,120,2,1,2,5,3.371,,9.07,0.21
metra_2020,120.000,814.8,1,120,2,1,2,5.5,3.371,,0,0
hussin_2017,70.866,118.1102362,1,88.58,1.25984252,1,4,4,0.268,15,,3.123
hussin_2017,70.866,118.1102362,1,88.58,1.25984252,1,4,4,1.205,14.4,,2.858
hussin_2017,70.866,118.1102362,1,88.58,1.25984252,1,4,4,1.070,13.1,,2.695
rahman_2025,,,1,,0.75,1,1,1,0.792516157,,,
effah_2021,24,72,1,,0.75,,,,,36.46,,0.000
effah_2021,24,96,1,,0.75,,,,,39.4,,0.000
effah_2021,24,120,1,,0.75,,,,,35.65,,0.000
effah_2021,24,144,1,,0.75,,,,,37.54,,0.000
effah_2021,24,168,1,,0.75,,,,,16.8,,0.000
effah_2021,28.8,72,1,,0.75,,,,,4.71,,0.000
effah_2021,28.8,96,1,,0.75,,,,,5.48,,0.000
effah_2021,28.8,120,1,,0.75,,,,,5,,0.000
effah_2021,28.8,144,1,,0.75,,,,,4.88,,0.000
effah_2021,28.8,168,1,,0.75,,,,,0,,0.000
effah_2021,33.6,72,1,,0.75,,,,,15.87,,0.000
effah_2021,33.6,96,1,,0.75,,,,,18,,0.000
effah_2021,33.6,120,1,,0.75,,,,,19.37,,0.000
effah_2021,33.6,144,1,,0.75,,,,,0,,0.000
effah_2021,33.6,168,1,,0.75,,,,,0,,0.000
effah_2021,48,72,1,,0.75,,,,,13.94,,0.000
effah_2021,48,96,1,,0.75,,,,,38.304,,0.000
effah_2021,48,120,1,,0.75,,,,,21.51,,0.000
effah_2021,48,144,1,,0.75,,,,,17.79,,0.000
effah_2021,48,168,1,,0.75,,,,,32.57,,0.000
effah_2021,62.4,72,1,,0.75,,,,,13.01,,0.000
effah_2021,62.4,96,1,,0.75,,,,,12.09,,0.000
effah_2021,62.4,120,1,,0.75,,,,,21.51,,0.000
effah_2021,62.4,144,1,,0.75,,,,,9.44,,0.000
