data_source,supply_head_in,delivery_head_in,no_drive_pipe,drive_pipe_length_in,no_check_valve,check_valve_in,waste_valve_in,temperature_c,friction_factor_in,vol_efficiency_pct,en_efficiency_pct,delivery_flow_gpm
sharma_2020,49,128,1,56,1,1,1,,,5.6,,
sharma_2020,67,128,1,56,1,1,1,,,7.9,,
sharma_2020,67,128,2,56,1,1,1,,,5.3,,
sharma_2020,67,128,2,56,2,1,1,,,5.3,,
sharma_2020,67,128,2,56,1,1,1,,,9.5,,
sharma_2020,67,128,2,56,1,1,0.75,,,6.9,,
sharma_2020,67,128,2,56,2,1,1,,,20.4,53,
sharma_2020,67,128,2,56,2,1,0.75,,,22,,
sharma_2021,49,128,1,56,1,1,0.75,,,5.714285714,15,0.192582026
sharma_2021,49,128,1,56,1,1,0.75,,,8,21,0.238284
sharma_2021,49,128,1,56,1,1,0.75,,,,,
sharma_2021,49,128,1,56,1,1,0.75,,,,,
sharma_2021,49,128,1,56,1,1,0.75,,,,,
sharma_2021,49,128,1,56,1,1,0.75,,,,,
sharma_2022,69,120,2,56,1,1,0.25,,,9.8,17.6,0.105669
sharma_2022,69,120,2,56,1,1,0.5,,,6.9,12.5,0.132086
sharma_2022,69,120,2,56,1,1,0.75,,,21.7,38.9,0.766101
sharma_2022,69,120,2,56,1,1,1,,,13.9,25.1,0.607598
es_sharma_2024,72.44094488,122.0472441,2,56,1,1,0.75,,,11.6,19.5,0.3566323
imece_sharma_2024,67.87007874,122,1,56,1,1,0.75,,,8.4,14.2,0.167309
imece_sharma_2024,67.87007874,122,2,56,1,1,0.75,,,9.2,15.6,0.2289491
imece_sharma_2024,67.87007874,122,3,56,1,1,0.75,,,8.6,14.6,0.233352
imece_sharma_2024,67.87007874,122,4,56,1,1,0.75,,,7.2,12.1,0.2025319
imece_2025,76.75,122.0472441,1,55.90551181,1,2,0.75,16.1,0.932493516,14.20361248,22.57772928,0.274210536
imece_2025,76.75,122,1,55.90551181,1,2,0.75,16.1,0.932493516,14.52991453,23.09641137,0.26945544
imece_2025,76.75,122,1,55.90551181,1,2,0.75,16.1,0.932493516,14.39933026,22.88883768,0.272625504
imece_2025,76.75,122,2,55.90551181,1,2,0.75,16.1,0.581226159,14.63414634,23.26209581,0.28530576
imece_2025,76.75,122,2,55.90551181,1,2,0.75,16.1,0.581226159,14.00394477,22.26034218,0.28134318
imece_2025,76.75,122.0472441,2,55.90551181,1,2,0.75,16.1,0.581226159,14.52648475,23.09095947,0.286890792
imece_2025,76.75,122,3,55.90551181,1,2,0.75,16.1,0.486175182,8.934707904,14.20240214,0.20605416
imece_2025,76.75,122,3,55.90551181,1,2,0.75,16.1,0.486175182,9.446254072,15.01554393,0.22982964
imece_2025,76.75,122,3,55.90551181,1,2,0.75,16.1,0.486175182,10.34482759,16.44389532,0.2377548
